ID,MEMBER_ID,LOAN_AMNT,FUNDED_AMNT,FUNDED_AMNT_INV,TERM,INT_RATE,INSTALLMENT,GRADE,SUB_GRADE,EMP_TITLE,EMP_LENGTH,HOME_OWNERSHIP,ANNUAL_INC,VERIFICATION_STATUS,ISSUE_D,LOAN_STATUS,PYMNT_PLAN,PURPOSE,TITLE,ZIP_CODE,ADDR_STATE,DTI,DELINQ_2YRS,EARLIEST_CR_LINE,INQ_LAST_6MTHS,MTHS_SINCE_LAST_DELINQ,MTHS_SINCE_LAST_RECORD,OPEN_ACC,PUB_REC,REVOL_BAL,REVOL_UTIL,TOTAL_ACC,INITIAL_LIST_STATUS,OUT_PRNCP,OUT_PRNCP_INV,TOTAL_PYMNT,TOTAL_PYMNT_INV,TOTAL_REC_PRNCP,TOTAL_REC_INT,TOTAL_REC_LATE_FEE,RECOVERIES,COLLECTION_RECOVERY_FEE,LAST_PYMNT_D,LAST_PYMNT_AMNT,NEXT_PYMNT_D,LAST_CREDIT_PULL_D,COLLECTIONS_12_MTHS_EX_MED,MTHS_SINCE_LAST_MAJOR_DEROG,POLICY_CODE,APPLICATION_TYPE,ANNUAL_INC_JOINT,DTI_JOINT,VERIFICATION_STATUS_JOINT,ACC_NOW_DELINQ,TOT_COLL_AMT,TOT_CUR_BAL,OPEN_ACC_6M,OPEN_IL_6M,OPEN_IL_12M,OPEN_IL_24M,MTHS_SINCE_RCNT_IL,TOTAL_BAL_IL,IL_UTIL,OPEN_RV_12M,OPEN_RV_24M,MAX_BAL_BC,ALL_UTIL,TOTAL_REV_HI_LIM,INQ_FI,TOTAL_CU_TL,INQ_LAST_12M
1065661,1299772,4000,4000,4000.00,36 months,6.03,121.75,A,A1,Simple Finance Technology Corp.,1 year,RENT,55000.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,No more credit card!,972xx,OR,7.05,0,Oct-01,0,,,7,0,2189,43.80,18,f,0.00,0.00,4355.44,4355.44,4000.00,355.44,0.00,0.00,0.00,Mar-14,1192.02,,Apr-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1065663,1299774,13000,13000,13000.00,36 months,9.91,418.93,B,B1,City of Capitola,6 years,RENT,110000.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Credit Cards,951xx,CA,8.38,0,Jun-01,0,,,8,0,9599,81.30,14,f,0.00,0.00,14957.75,14957.75,13000.00,1957.75,0.00,0.00,0.00,May-14,3659.90,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1065467,1299576,9000,9000,9000.00,60 months,19.91,238.00,E,E4,Responsive Learning Technologies,3 years,RENT,60000.00,Verified,Dec-11,Charged Off,n,credit_card,Cards,950xx,CA,22.56,0,Dec-97,1,,,17,0,21321,91.10,30,f,0.00,0.00,5227.64,5227.64,2327.73,2899.91,0.00,0.00,0.00,Oct-13,238.00,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064102,1296692,20000,20000,19975.00,60 months,15.27,478.64,C,C4,Level 3 Communications,10+ years,OWN,78216.00,Verified,Dec-11,Charged Off,n,debt_consolidation,Debt Consolidation,956xx,CA,10.79,0,Jul-95,1,,,8,0,25161,80.30,21,f,0.00,0.00,5797.78,5790.61,2367.51,2405.39,0.00,1024.88,9.89,Oct-12,478.64,,Mar-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1065342,1299434,20000,20000,19950.00,60 months,14.65,472.14,C,C3,Micro/Sys,2 years,MORTGAGE,56000.00,Verified,Dec-11,Current,n,credit_card,Pay off high interest credit cards,913xx,CA,12.15,0,Jul-93,1,,,9,0,19348,59.90,15,f,5241.44,5228.34,22660.12,22603.47,14758.56,7901.56,0.00,0.00,0.00,Dec-15,472.14,Feb-16,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1065298,1299382,10000,10000,10000.00,36 months,13.49,339.31,C,C1,Patriot General,3 years,RENT,84000.00,Verified,Dec-11,Fully Paid,n,debt_consolidation,pay credit cards,919xx,CA,13.87,0,Feb-07,0,55,,8,0,6046,68.70,10,f,0.00,0.00,12155.92,12155.92,10000.00,2155.92,0.00,0.00,0.00,Jul-14,1990.92,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064940,1298993,7800,7800,7800.00,36 months,6.03,237.40,A,A1,Placer County,10+ years,OWN,85000.00,Not Verified,Dec-11,Fully Paid,n,major_purchase,Purchase,895xx,NV,0.78,0,Jul-94,1,,,7,0,3878,6.20,12,f,0.00,0.00,8545.84,8545.84,7800.00,745.84,0.00,0.00,0.00,Jan-15,4.89,,Mar-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1062248,1294105,9750,9750,9750.00,36 months,7.51,303.34,A,A3,Grand Wailea,4 years,RENT,35000.00,Not Verified,Dec-11,Charged Off,n,debt_consolidation,Consolidation,967xx,HI,29.04,0,Sep-96,1,,,9,0,13275,51.70,19,f,0.00,0.00,5150.83,5150.83,4327.31,823.52,0.00,0.00,0.00,May-13,303.34,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064926,1298978,5000,5000,5000.00,36 months,6.03,152.18,A,A1,m.s.c.z. inc earthwize recycling,9 years,MORTGAGE,30000.00,Not Verified,Dec-11,Fully Paid,n,other,Other Loan,923xx,CA,16.48,0,Jun-00,0,,,7,0,5881,25.60,16,f,0.00,0.00,5451.03,5451.03,5000.00,451.03,0.00,0.00,0.00,Apr-14,1344.77,,Oct-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064754,1298795,25000,25000,23505.29,60 months,19.42,654.31,E,E3,San Francisco Public Library,10+ years,RENT,60000.00,Verified,Dec-11,Charged Off,n,credit_card,refinance,941xx,CA,20.04,0,Aug-00,0,,,12,0,17035,94.90,24,f,0.00,0.00,26721.85,23057.30,11624.71,11255.08,0.00,3842.06,687.78,Dec-14,654.31,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
